day,planned_date,date_source,phase,week,week_theme,stage,stage_label,sector,sector_label,risk,format,format_label,topic,hook,stakes,verdict,cta_label,cta_url,briefing_url,short_status,reel_status,asset_link,posted_at,notes
1,2026-03-26,published,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,DPDPA in one sentence,DPDPA is India's law for digital personal data.,"If your business collects, stores, shares, or uses people's data in digital form, this law matters to you. That includes customer data, employee data, vendor data, and app-user data.",If data is digital and belongs to a person it is now a business responsibility not just a tech issue.,Check my readiness,https://saralprivacy.com/assessment,https://saralprivacy.com/briefings/2026-03-26-are-you-breaking-this-new-law-without-knowing,,,,,
2,2026-03-27,published,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,explainer,Explainer,Who should care?,DPDPA is not only for large enterprises.,"A 20-person company collecting resumes, customer phone numbers, or website leads is already handling personal data. Size does not magically erase responsibility.",If you collect digital data from people DPDPA is your issue too.,Check my readiness,https://saralprivacy.com/assessment,https://saralprivacy.com/briefings/2026-03-27-does-this-new-law-apply-to-your-small-business,,,,,
3,2026-03-28,published,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,Myth-buster: We are too small,Small businesses are not invisible.,"Smaller firms usually have weaker controls, fewer processes, and more informal data sharing. That makes them more exposed, not less.",Being small reduces headcount not risk.,Check my readiness,https://saralprivacy.com/assessment,https://saralprivacy.com/briefings/2026-03-28-small-business-this-law-still-applies-to-you,,,,,
4,2026-03-29,derived,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,What counts as personal data?,Personal data is any data that can identify a person directly or indirectly.,"Name, email, mobile number, employee ID, location, support ticket, login data, payment-linked info, and resumes can all count depending on context.",If a piece of data can point to a real human treat it with care.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
5,2026-03-30,derived,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,playbook,Playbook,Why now?,DPDPA readiness should start before someone asks for proof.,"Most SMBs wait until a customer questionnaire, a partner review, or a data issue forces action. That is late. Readiness is cheaper before pressure arrives.",The best time to prepare is before your inbox becomes a crime scene.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
6,2026-03-31,derived,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,explainer,Explainer,DPDPA in 60 seconds,Explain DPDPA in business language not legal language.,The video should answer four things: what it is who it affects where the risk sits and what the first step is.,Do not start with law. Start with where your data lives.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
7,2026-04-01,derived,Foundations,1,What is DPDPA?,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,Weekly recap poll,Make people locate the problem.,"Ask where most personal data sits: CRM, HR files, WhatsApp, spreadsheets, support tools. This turns theory into self-diagnosis.",You cannot protect what you cannot point to.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
8,2026-04-02,derived,Foundations,2,Why SMBs should care,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,Trust is a business asset,Privacy readiness builds trust.,"Customers and partners may not read your policy line by line, but they notice when a business handles data carelessly. Trust leaks quietly, then all at once.",Data care is brand care.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
9,2026-04-03,derived,Foundations,2,Why SMBs should care,learn,Learn,general,Foundations / all sectors,medium,explainer,Explainer,Customer data risks,Customer data leaks happen through normal business activity.,"Lead forms, CRM exports, support tickets, email attachments, spreadsheets, and shared folders are common weak points.",Risk usually hides inside routine not drama.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
10,2026-04-04,derived,Foundations,2,Why SMBs should care,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,Employee data risks,Employee data is just as sensitive as customer data.,"Resumes, salary files, attendance data, IDs, medical details, and background checks often sit in messy folders with weak access control.",Your people data deserves the same discipline as your customer data.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
11,2026-04-05,derived,Foundations,2,Why SMBs should care,learn,Learn,general,Foundations / all sectors,medium,explainer,Explainer,Vendor risk,Your vendors can expand your risk.,"HRMS tools, CRMs, payroll vendors, agencies, cloud tools, and IT support partners may all touch personal data. If they are sloppy, your business still suffers.",Your data risk is only as strong as your weakest vendor.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
12,2026-04-06,derived,Foundations,2,Why SMBs should care,learn,Learn,general,Foundations / all sectors,medium,stat,Stat,Mistake to avoid: collecting too much,Data minimisation is common sense.,"Many SMBs collect extra fields just in case. Most of that data is never used, but it increases storage, exposure, and confusion.",Every extra field you collect becomes one more thing you must protect.,Check my readiness,https://saralprivacy.com/assessment,,,,,,
